A Single Man,7.6,Drama,Tom Ford,Colin Firth,Julianne Moore,7000000,9176000,28142379,"Dec 11, 2009"
A Sound of Thunder,4.2,Action,Peter Hyams,Edward Burns,Ben Kingsley,80000000,1900451,6300451,"Sep 2, 2005"
A Star Is Born,7.7,Drama,Bradley Cooper,Lady Gaga,Bradley Cooper,36000000,215288866,433410882,"Oct 5, 2018"
A Street Cat Named Bob,7.4,Biography,Roger Spottiswoode,Luke Treadaway,Bob the Cat,8000000,82703,17382693,"Nov 18, 2016"
A Thousand Words,5.9,Comedy,Brian Robbins,Eddie Murphy,Cliff Curtis,40000000,18450127,20790486,"Mar 9, 2012"
A Very Harold & Kumar 3D Christmas,6.3,Adventure,Todd Strauss-Schulson,Kal Penn,John Cho,20000000,35061031,36265745,"Nov 4, 2011"
A Walk Among the Tombstones,6.5,Action,Scott Frank,Liam Neeson,Dan Stevens,28000000,26017685,62108587,"Sep 19, 2014"
A Walk in the Woods,6.3,Adventure,Ken Kwapis,Robert Redford,Nick Nolte,8000000,29499394,37119358,"Sep 2, 2015"
A Walk to Remember,7.4,Drama,Adam Shankman,Mandy Moore,Shane West,11000000,41227069,46060861,"Jan 25, 2002"
A Wrinkle in Time,4.2,Adventure,Ava DuVernay,Storm Reid,Oprah Winfrey,103000000,100478608,133401882,"Mar 9, 2018"
Abandon,4.9,Drama,Stephen Gaghan,Katie Holmes,Benjamin Bratt,25000000,10719367,12219367,"Oct 18, 2002"
Abduction,5.1,Action,John Singleton,Taylor Lautner,Lily Collins,35000000,28087155,86648359,"Sep 23, 2011"
About a Boy,7.1,Comedy,Paul Weitz,Chris Weitz,Nicholas Hoult,27000000,40803000,130759651,"May 17, 2002"
About Last Night,6.1,Comedy,Steve Pink,Kevin Hart,Michael Ealy,13000000,48637684,50445860,"Feb 14, 2014"
About Schmidt,7.1,Comedy,Alexander Payne,Jack Nicholson,Hope Davis,30000000,65005217,107054484,"Dec 13, 2002"
